Id,0
1400000US36005023301,Spanish or Spanish Creole
1400000US36005023302,Spanish or Spanish Creole
1400000US36005023501,Spanish or Spanish Creole
1400000US36005023502,Spanish or Spanish Creole
1400000US36005023600,Spanish or Spanish Creole
1400000US36005023702,Spanish or Spanish Creole
1400000US36005023703,Spanish or Spanish Creole
1400000US36005023704,Spanish or Spanish Creole
1400000US36005023800,Spanish or Spanish Creole
1400000US36005023900,Spanish or Spanish Creole
1400000US36005024000,Spanish or Spanish Creole
1400000US36005024100,Spanish or Spanish Creole
1400000US36005024300,Spanish or Spanish Creole
1400000US36005024400,English
1400000US36005024501,Spanish or Spanish Creole
1400000US36005024502,Spanish or Spanish Creole
1400000US36005024600,English
1400000US36005024700,English
1400000US36005024800,English
1400000US36005024900,English
1400000US36005025000,English
1400000US36005025100,Spanish or Spanish Creole
1400000US36005025200,English
1400000US36005025300,Spanish or Spanish Creole
1400000US36005025400,English
1400000US36005025500,Spanish or Spanish Creole
1400000US36005025600,English
1400000US36005025700,Spanish or Spanish Creole
1400000US36005026100,English
1400000US36005026300,Spanish or Spanish Creole
1400000US36005026400,English
1400000US36005026500,Spanish or Spanish Creole
1400000US36005026601,English
1400000US36005026602,English
1400000US36005026701,Spanish or Spanish Creole
1400000US36005026702,Spanish or Spanish Creole
1400000US36005026900,Spanish or Spanish Creole
1400000US36005027300,Spanish or Spanish Creole
1400000US36005027401,English
1400000US36005027402,English
1400000US36005027600,English
1400000US36005027700,Spanish or Spanish Creole
1400000US36005027900,Spanish or Spanish Creole
1400000US36005028100,English
1400000US36005028300,Spanish or Spanish Creole
1400000US36005028400,English
1400000US36005028500,Spanish or Spanish Creole
1400000US36005028600,English
1400000US36005028700,Spanish or Spanish Creole
1400000US36005028800,English
1400000US36005028900,Spanish or Spanish Creole
1400000US36005029301,English
1400000US36005029302,English
1400000US36005029500,English
1400000US36005029600,English
1400000US36005029700,English
1400000US36005030000,English
1400000US36005030100,English
1400000US36005030200,English
1400000US36005030701,English
1400000US36005030900,English
1400000US36005031000,English
1400000US36005031200,English
1400000US36005031400,English
1400000US36005031600,English
1400000US36005031800,English
1400000US36005031900,English
1400000US36005032300,English
1400000US36005032400,Spanish or Spanish Creole
1400000US36005032600,English
1400000US36005032800,Spanish or Spanish Creole
1400000US36005033000,Spanish or Spanish Creole
1400000US36005033201,Spanish or Spanish Creole
1400000US36005033202,English
1400000US36005033400,Spanish or Spanish Creole
1400000US36005033500,English
1400000US36005033600,English
1400000US36005033700,English
1400000US36005033800,English
1400000US36005034000,English
1400000US36005034200,English
1400000US36005034300,English
1400000US36005034400,English
1400000US36005034500,English
1400000US36005034800,English
1400000US36005035000,English
1400000US36005035100,English
1400000US36005035600,English
1400000US36005035800,English
1400000US36005035900,Spanish or Spanish Creole
1400000US36005036000,English
1400000US36005036100,Spanish or Spanish Creole
1400000US36005036300,Spanish or Spanish Creole
1400000US36005036400,English
1400000US36005036501,English
1400000US36005036502,Spanish or Spanish Creole
1400000US36005036700,Spanish or Spanish Creole
1400000US36005036800,English
1400000US36005036901,Spanish or Spanish Creole
1400000US36005036902,Spanish or Spanish Creole
1400000US36005037000,English
1400000US36005037100,Spanish or Spanish Creole
1400000US36005037200,English
1400000US36005037300,Spanish or Spanish Creole
1400000US36005037400,English
1400000US36005037504,Spanish or Spanish Creole
1400000US36005037600,English
1400000US36005037800,English
1400000US36005037900,Spanish or Spanish Creole
1400000US36005038000,English
1400000US36005038100,Spanish or Spanish Creole
1400000US36005038200,English
1400000US36005038301,Spanish or Spanish Creole
1400000US36005038302,Spanish or Spanish Creole
1400000US36005038500,Spanish or Spanish Creole
1400000US36005038600,English
1400000US36005038700,Spanish or Spanish Creole
1400000US36005038800,English
1400000US36005038900,Spanish or Spanish Creole
1400000US36005039000,English
1400000US36005039100,Spanish or Spanish Creole
1400000US36005039200,English
1400000US36005039300,Spanish or Spanish Creole
1400000US36005039400,English
1400000US36005039500,Spanish or Spanish Creole
1400000US36005039600,English
1400000US36005039700,English
1400000US36005039800,English
1400000US36005039901,Spanish or Spanish Creole
1400000US36005039902,Spanish or Spanish Creole
1400000US36005040100,Spanish or Spanish Creole
1400000US36005040302,Spanish or Spanish Creole
1400000US36005040303,Spanish or Spanish Creole
1400000US36005040304,Spanish or Spanish Creole
1400000US36005040400,English
1400000US36005040501,Spanish or Spanish Creole
1400000US36005040502,Spanish or Spanish Creole
1400000US36005040600,English
1400000US36005040701,Spanish or Spanish Creole
1400000US36005040702,Spanish or Spanish Creole
1400000US36005040800,English
1400000US36005040900,English
1400000US36005041100,Spanish or Spanish Creole
1400000US36005041300,Spanish or Spanish Creole
1400000US36005041400,English
1400000US36005041500,Spanish or Spanish Creole
1400000US36005041800,English
1400000US36005041900,Spanish or Spanish Creole
1400000US36005042000,English
1400000US36005042100,Spanish or Spanish Creole
1400000US36005042200,English
1400000US36005042300,Spanish or Spanish Creole
1400000US36005042400,English
1400000US36005042500,Spanish or Spanish Creole
1400000US36005042600,English
1400000US36005042800,English
1400000US36005042901,Spanish or Spanish Creole
1400000US36005042902,Spanish or Spanish Creole
1400000US36005043000,English
1400000US36005043100,Spanish or Spanish Creole
1400000US36005043400,English
1400000US36005043500,English
1400000US36005043600,English
1400000US36005044200,English
1400000US36005044400,English
1400000US36005044800,English
1400000US36005044901,English
1400000US36005044902,English
1400000US36005045101,English
1400000US36005045102,English
1400000US36005045600,English
1400000US36005045800,Spanish or Spanish Creole
1400000US36005046000,English
1400000US36005046201,English
1400000US36005046202,English
1400000US36005048400,English
1400000US36005050400,English
1400000US36005051600,English
1400000US36047000100,English
1400000US36047000200,Spanish or Spanish Creole
1400000US36047000301,English
1400000US36047000501,English
1400000US36047000502,English
1400000US36047000700,English
1400000US36047000900,English
1400000US36047001100,English
1400000US36047001300,English
1400000US36047001500,English
1400000US36047001800,Spanish or Spanish Creole
1400000US36047002000,Spanish or Spanish Creole
1400000US36047002100,English
1400000US36047002200,Spanish or Spanish Creole
1400000US36047002300,English
1400000US36047002901,English
1400000US36047003000,English
1400000US36047003100,English
1400000US36047003300,English
1400000US36047003400,English
1400000US36047003500,English
1400000US36047003600,English
1400000US36047003700,English
1400000US36047003800,English
1400000US36047003900,English
1400000US36047004100,English
1400000US36047004300,English
1400000US36047004400,English
1400000US36047004500,English
1400000US36047004600,English
1400000US36047004700,English
1400000US36047004900,English
1400000US36047005000,English
1400000US36047005100,English
1400000US36047005201,English
1400000US36047005202,English
1400000US36047005300,English
1400000US36047005400,English
1400000US36047005601,English
1400000US36047005602,English
1400000US36047005800,English
1400000US36047005900,English
1400000US36047006000,English
1400000US36047006200,English
1400000US36047006300,English
1400000US36047006400,English
1400000US36047006500,English
1400000US36047006600,English
1400000US36047006700,English
1400000US36047006800,English
1400000US36047006900,English
1400000US36047007000,English
1400000US36047007100,English
1400000US36047007200,Spanish or Spanish Creole
1400000US36047007400,Spanish or Spanish Creole
1400000US36047007500,English
1400000US36047007600,Spanish or Spanish Creole
1400000US36047007700,English
1400000US36047007800,Spanish or Spanish Creole
1400000US36047008000,Spanish or Spanish Creole
1400000US36047008200,Spanish or Spanish Creole
1400000US36047008400,Spanish or Spanish Creole
1400000US36047008500,English
1400000US36047008600,English
1400000US36047008800,Spanish or Spanish Creole
1400000US36047009000,Spanish or Spanish Creole
1400000US36047009200,Chinese
1400000US36047009400,Chinese
1400000US36047009600,Spanish or Spanish Creole
1400000US36047009800,Spanish or Spanish Creole
1400000US36047010000,Chinese
1400000US36047010100,Spanish or Spanish Creole
1400000US36047010200,Chinese
1400000US36047010400,Chinese
1400000US36047010600,Chinese
1400000US36047010800,Chinese
1400000US36047011000,Spanish or Spanish Creole
1400000US36047011200,Spanish or Spanish Creole
1400000US36047011400,Yiddish
1400000US36047011600,Chinese
1400000US36047011700,English
1400000US36047011800,Chinese
1400000US36047011900,English
1400000US36047012000,Chinese
1400000US36047012100,English
1400000US36047012200,Spanish or Spanish Creole
1400000US36047012600,Chinese
1400000US36047012700,English
1400000US36047012801,Chinese
1400000US36047012901,English
1400000US36047012902,English
1400000US36047013000,English
1400000US36047013100,English
1400000US36047013200,Chinese
1400000US36047013300,English
1400000US36047013400,English
1400000US36047013500,English
1400000US36047013600,English
1400000US36047013700,English
1400000US36047013800,English
1400000US36047013900,English
1400000US36047014000,English
1400000US36047014100,English
1400000US36047014200,English
1400000US36047014300,English
1400000US36047014500,English
1400000US36047014700,English
1400000US36047014800,English
1400000US36047014900,English
1400000US36047015000,English
1400000US36047015100,English
1400000US36047015200,English
1400000US36047015300,English
1400000US36047015400,English
1400000US36047015500,English
1400000US36047015700,English
1400000US36047015900,English
1400000US36047016000,English
1400000US36047016100,English
1400000US36047016200,English
1400000US36047016300,English
1400000US36047016400,English
1400000US36047016500,English
1400000US36047016600,English
1400000US36047016700,English
1400000US36047016800,English
1400000US36047016900,English
1400000US36047017000,Chinese
1400000US36047017100,English
1400000US36047017200,Chinese
1400000US36047017400,English
1400000US36047017500,English
1400000US36047017600,English
1400000US36047017700,English
1400000US36047017800,Chinese
1400000US36047017900,English
1400000US36047018000,English
1400000US36047018100,English
1400000US36047018200,Chinese
1400000US36047018300,English
1400000US36047018400,English
1400000US36047018501,English
1400000US36047018600,English
1400000US36047018700,English
1400000US36047018800,English
1400000US36047019000,Chinese
1400000US36047019100,English
1400000US36047019200,Yiddish
1400000US36047019300,English
1400000US36047019400,Chinese
1400000US36047019500,English
1400000US36047019600,Chinese
1400000US36047019700,English
1400000US36047019800,English
1400000US36047019900,English
1400000US36047020000,English
1400000US36047020100,English
1400000US36047020200,English
1400000US36047020300,English
1400000US36047020400,English
1400000US36047020500,English
1400000US36047020600,English
1400000US36047020700,English
1400000US36047020800,Chinese
1400000US36047021000,Chinese
1400000US36047021100,English
1400000US36047021200,Chinese
1400000US36047021300,English
1400000US36047021400,Chinese
1400000US36047021500,English
1400000US36047021600,Yiddish
1400000US36047021700,English
1400000US36047021800,Yiddish
1400000US36047021900,English
1400000US36047022000,Yiddish
1400000US36047022100,English
1400000US36047022200,Yiddish
1400000US36047022400,Yiddish
1400000US36047022600,Spanish or Spanish Creole
1400000US36047022700,English
1400000US36047022800,Yiddish
1400000US36047022900,English
1400000US36047023000,Yiddish
1400000US36047023100,English
1400000US36047023200,Yiddish
1400000US36047023300,English
1400000US36047023400,Yiddish
1400000US36047023500,English
1400000US36047023600,Yiddish
1400000US36047023800,Yiddish
1400000US36047024000,Yiddish
1400000US36047024100,English
1400000US36047024200,English
1400000US36047024300,English
1400000US36047024400,English
1400000US36047024500,English
1400000US36047024600,Chinese
1400000US36047024700,English
1400000US36047024800,Chinese
1400000US36047024900,English
1400000US36047025000,Chinese
1400000US36047025100,English
1400000US36047025200,Chinese
1400000US36047025300,English
1400000US36047025400,Chinese
1400000US36047025500,Spanish or Spanish Creole
1400000US36047025600,Chinese
1400000US36047025700,English
1400000US36047025800,Chinese
1400000US36047025901,English
1400000US36047025902,English
1400000US36047026000,Chinese
1400000US36047026100,English
1400000US36047026200,Chinese
1400000US36047026300,English
1400000US36047026400,Chinese
1400000US36047026500,English
1400000US36047026600,Chinese
1400000US36047026700,English
1400000US36047026800,English
1400000US36047026900,English
1400000US36047027000,English
1400000US36047027100,English
1400000US36047027200,English
1400000US36047027300,English
1400000US36047027400,Chinese
1400000US36047027500,English
1400000US36047027600,Chinese
1400000US36047027700,English
1400000US36047027800,English
1400000US36047027900,English
1400000US36047028000,Chinese
1400000US36047028100,English
1400000US36047028200,Chinese
1400000US36047028300,English
1400000US36047028400,Chinese
1400000US36047028501,English
1400000US36047028502,English
1400000US36047028600,English
1400000US36047028700,English
1400000US36047028800,Chinese
1400000US36047028900,English
1400000US36047029000,Russian
1400000US36047029100,English
1400000US36047029200,Chinese
1400000US36047029300,English
1400000US36047029400,English
1400000US36047029500,English
1400000US36047029600,English
1400000US36047029700,English
1400000US36047029800,English
1400000US36047029900,English
1400000US36047030000,Chinese
1400000US36047030100,English
1400000US36047030200,Chinese
1400000US36047030300,English
1400000US36047030400,Chinese
1400000US36047030500,English
1400000US36047030600,Chinese
1400000US36047030700,English
1400000US36047030800,English
1400000US36047030900,English
1400000US36047031100,English
1400000US36047031300,English
1400000US36047031400,English
1400000US36047031500,English
1400000US36047031701,English
1400000US36047031702,English
1400000US36047031900,English
1400000US36047032100,English
1400000US36047032300,English
1400000US36047032500,English
1400000US36047032600,English
1400000US36047032700,English
1400000US36047032800,English
1400000US36047032900,English
1400000US36047033000,English
1400000US36047033100,English
1400000US36047033300,English
1400000US36047033500,English
1400000US36047033600,English
1400000US36047033700,English
1400000US36047033900,English
1400000US36047034000,English
1400000US36047034100,English
1400000US36047034200,English
1400000US36047034300,English
1400000US36047034500,English
1400000US36047034700,English
1400000US36047034800,Spanish or Spanish Creole
1400000US36047034900,English
1400000US36047035000,Russian
1400000US36047035100,English
1400000US36047035200,English
1400000US36047035300,English
1400000US36047035400,Russian
1400000US36047035500,English
1400000US36047035601,Russian
1400000US36047035602,Russian
1400000US36047035700,English
1400000US36047035900,English
1400000US36047036001,Russian
1400000US36047036002,Russian
1400000US36047036100,English
1400000US36047036200,Spanish or Spanish Creole
1400000US36047036300,English
1400000US36047036400,Russian
1400000US36047036501,English
1400000US36047036502,English
1400000US36047036600,Russian
1400000US36047036700,English
1400000US36047036900,English
1400000US36047037000,Russian
1400000US36047037100,English
1400000US36047037300,English
1400000US36047037401,Russian
1400000US36047037402,Russian
1400000US36047037500,English
1400000US36047037700,English
