Id,Total,English,Spanish or Spanish Creole,Spanish or Spanish Creole LEP,"French (incl. Patois, Cajun)","French (incl. Patois, Cajun) LEP",French Creole,French Creole LEP,Italian,Italian LEP,Portuguese or Portuguese Creole,Portuguese or Portuguese Creole LEP,German,German LEP,Yiddish,Yiddish LEP,Other West Germanic languages,Other West Germanic languages LEP,Scandinavian languages,Scandinavian languages LEP,Greek,Greek LEP,Russian,Russian LEP,Polish,Polish LEP,Serbo-Croatian,Serbo-Croatian LEP,Other Slavic languages,Other Slavic languages LEP,Armenian,Armenian LEP,Persian,Persian LEP,Gujarati,Gujarati LEP,Hindi,Hindi LEP,Urdu,Urdu LEP,Other Indic languages,Other Indic languages LEP,Other Indo-European languages,Other Indo-European languages LEP,Chinese,Chinese LEP,Japanese,Japanese LEP,Korean,Korean LEP,"Mon-Khmer, Cambodian","Mon-Khmer, Cambodian LEP",Hmong,Hmong LEP,Thai,Thai LEP,Laotian,Laotian LEP,Vietnamese,Vietnamese LEP,Other Asian languages,Other Asian languages LEP,Tagalog,Tagalog LEP,Other Pacific Island languages,Other Pacific Island languages LEP,Navajo,Navajo LEP,Other Native North American languages,Other Native North American languages LEP,Hungarian,Hungarian LEP,Arabic,Arabic LEP,Hebrew,Hebrew LEP,African languages,African languages LEP,Other and unspecified languages,Other and unspecified languages LEP,county
1400000US36047006400,3144,1824,176,42,15,8,0,0,69,20,10,0,0,0,0,0,0,0,0,0,153,43,168,99,0,0,23,13,0,0,0,0,9,9,0,0,0,0,0,0,0,0,4,4,85,40,0,0,49,21,0,0,0,0,0,0,0,0,0,0,29,0,0,0,11,0,0,0,0,0,0,0,447,257,9,9,6,6,57,30, Kings County
1400000US36047006500,5061,4005,287,178,264,2,16,0,145,11,0,0,57,0,0,0,55,0,15,0,36,0,14,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,26,0,0,0, Kings County
1400000US36047006600,3504,1633,410,61,7,0,0,0,42,17,2,0,0,0,0,0,0,0,0,0,98,29,179,94,177,93,0,0,0,0,0,0,0,0,0,0,10,0,0,0,47,17,80,40,106,72,9,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,33,17,42,21,0,0,0,0,0,0,556,165,0,0,33,0,0,0, Kings County
1400000US36047006700,3440,2923,130,27,50,0,0,0,107,30,8,0,7,0,0,0,16,0,29,0,0,0,36,0,0,0,0,0,13,13,0,0,24,0,0,0,0,0,0,0,12,0,10,0,11,0,17,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,14,0, Kings County
1400000US36047006800,4851,1349,1106,418,31,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,82,58,84,51,138,40,0,0,74,27,0,0,0,0,0,0,0,0,37,0,13,0,28,20,729,510,17,0,32,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,525,0,0,0,0,0,0, Kings County
1400000US36047006900,3481,2680,462,106,18,0,0,0,38,0,5,5,8,0,0,0,0,0,9,0,21,0,2,2,0,0,0,0,13,13,0,0,9,0,0,0,0,0,0,0,6,0,8,0,27,10,18,8,57,41,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,80,16,0,0,7,0,0,0, Kings County
1400000US36047007000,2322,1170,210,18,20,0,0,0,8,0,0,0,0,0,4,0,0,0,9,0,6,6,257,160,0,0,0,0,15,15,0,0,0,0,0,0,0,0,8,0,0,0,19,13,208,156,0,0,20,11,0,0,0,0,0,0,0,0,9,0,52,10,0,0,0,0,0,0,0,0,40,21,267,133,0,0,0,0,0,0, Kings County
1400000US36047007100,4670,2903,1572,577,67,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,13,0,0,0,5,0,14,0,20,0,0,0,0,0,0,0,63,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0, Kings County
1400000US36047007200,2072,178,1083,610,14,14,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,20,20,0,0,13,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,604,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,52,0,0,27,22,0,0, Kings County
1400000US36047007400,5617,680,3697,2121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,18,18,1038,825,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,90,47,0,0,0,0,0,0, Kings County
