Id,0
1400000US36005028600,Other Indo-European languages
1400000US36005028700,Chinese
1400000US36005028800,Italian
1400000US36005028900,Other Slavic languages
1400000US36005029301,Other Indo-European languages
1400000US36005029302,Hungarian
1400000US36005029500,Portuguese or Portuguese Creole
1400000US36005029600,Chinese
1400000US36005029700,Chinese
1400000US36005030000,Italian
1400000US36005030100,Italian
1400000US36005030200,African languages
1400000US36005030701,Other Indo-European languages
1400000US36005030900,Hebrew
1400000US36005031000,Italian
1400000US36005031200,Italian
1400000US36005031400,Italian
1400000US36005031600,Other Indo-European languages
1400000US36005031800,Other Indo-European languages
1400000US36005031900,"French (incl. Patois, Cajun)"
1400000US36005032300,Chinese
1400000US36005032400,Other Indo-European languages
1400000US36005032600,Other Indo-European languages
1400000US36005032800,Other Indic languages
1400000US36005033000,Other Indo-European languages
1400000US36005033201,Other Indo-European languages
1400000US36005033202,African languages
1400000US36005033400,African languages
1400000US36005033500,Hebrew
1400000US36005033600,African languages
1400000US36005033700,Other Slavic languages
1400000US36005033800,Other Indic languages
1400000US36005034000,Arabic
1400000US36005034200,African languages
1400000US36005034300,Hebrew
1400000US36005034400,Other Indo-European languages
1400000US36005034500,Urdu
1400000US36005034800,Tagalog
1400000US36005035000,Urdu
1400000US36005035100,Russian
1400000US36005035600,Other Indic languages
1400000US36005035800,African languages
1400000US36005035900,"French (incl. Patois, Cajun)"
1400000US36005036000,African languages
1400000US36005036100,Arabic
1400000US36005036300,"French (incl. Patois, Cajun)"
1400000US36005036400,African languages
1400000US36005036501,African languages
1400000US36005036502,African languages
1400000US36005036700,African languages
1400000US36005036800,African languages
1400000US36005036901,African languages
1400000US36005036902,African languages
1400000US36005037000,African languages
1400000US36005037100,African languages
1400000US36005037200,"French (incl. Patois, Cajun)"
1400000US36005037300,African languages
1400000US36005037400,African languages
1400000US36005037504,African languages
1400000US36005037600,Tagalog
1400000US36005037800,African languages
1400000US36005037900,African languages
1400000US36005038000,African languages
1400000US36005038100,African languages
1400000US36005038200,French Creole
1400000US36005038301,African languages
1400000US36005038302,African languages
1400000US36005038500,African languages
1400000US36005038600,African languages
1400000US36005038700,Other Indo-European languages
1400000US36005038800,African languages
1400000US36005038900,"French (incl. Patois, Cajun)"
1400000US36005039000,African languages
1400000US36005039100,Other Slavic languages
1400000US36005039200,African languages
1400000US36005039300,"French (incl. Patois, Cajun)"
1400000US36005039400,African languages
1400000US36005039500,African languages
1400000US36005039600,African languages
1400000US36005039700,Italian
1400000US36005039800,African languages
1400000US36005039901,"French (incl. Patois, Cajun)"
1400000US36005039902,"French (incl. Patois, Cajun)"
1400000US36005040100,Other Indic languages
1400000US36005040302,African languages
1400000US36005040303,"French (incl. Patois, Cajun)"
1400000US36005040304,Vietnamese
1400000US36005040400,African languages
1400000US36005040501,African languages
1400000US36005040502,African languages
