incarceration,10
around,10
influence,10
union,10
marketing,10
even,10
childrens,10
portrait,10
gang,10
dominican,10
failed,10
hair,10
john,10
entrepreneurs,10
daughters,10
security,10
fish,10
iraq,10
grows,10
odds,10
efforts,10
truth,10
familys,10
use,10
water,9
stand,9
opera,9
abortion,9
growth,9
company,9
tell,9
dog,9
office,9
staten,9
test,9
king,9
today,9
racing,9
blood,9
found,9
rules,9
childhood,9
boom,9
brothers,9
older,9
turning,9
columbia,9
million,9
gotham,9
wrong,9
society,9
greenpoint,9
far,9
different,9
stop,9
athletes,9
always,9
rebirth,9
act,9
democracy,9
china,9
harlems,9
barriers,9
hard,9
fans,9
ivy,9
benefits,9
know,9
gambling,9
profiles,9
exploring,9
challenge,9
bringing,9
walls,9
heart,9
forever,9
whos,9
didnt,9
hot,9
natural,9
standup,9
christian,9
station,9
centers,9
mainstream,9
africanamerican,9
museum,9
poetry,9
corner,9
companies,9
doesnt,9
pregnancy,9
evolution,9
federal,9
part,9
toward,9
hip,9
takes,9
role,9
recession,9
voice,9
juvenile,9
gets,9
girl,9
funding,9
jamaica,9
failure,9
approach,9
caught,9
parks,9
happens,9
gowanus,8
apple,8
clubs,8
machine,8
seek,8
afghan,8
ball,8
controversy,8
five,8
boxing,8
citizen,8
surveillance,8
strangers,8
problems,8
pulling,8
corps,8
arab,8
newest,8
march,8
say,8
closed,8
israel,8
healthcare,8
population,8
trauma,8
tomorrows,8
build,8
winter,8
curtain,8
gods,8
classroom,8
escaping,8
survived,8
limbo,8
record,8
disabilities,8
forward,8
giving,8
relationships,8
games,8
minds,8
battles,8
romance,8
strive,8
baseball,8
writers,8
square,8
moms,8
charter,8
dollars,8
incarcerated,8
die,8
affordable,8
storm,8
writing,8
members,8
son,8
detention,8
recognition,8
queen,8
kings,8
lgbt,8
activist,8
double,8
affects,8
across,8
body,8
revisited,8
pill,8
palestinian,8
beach,8
emergence,8
try,8
latin,8
redefining,8
churches,8
brooklyns,8
tv,8
battered,8
unlikely,8
mosque,8
rebuilding,8
effects,8
todays,8
trouble,8
protect,8
project,8
higher,8
experiences,8
campaign,8
financial,8
hands,8
father,8
religious,8
plan,8
usa,8
donation,8
longer,8
decades,8
despite,8
testing,8
alone,8
environmental,8
performance,8
finds,8
burden,8
kills,8
trust,7
adult,7
issue,7
quiet,7
waters,7
coping,7
criminals,7
kid,7
gray,7
style,7
