advisor,author,project_format,title,year,title_word_count,title_clean
"""Kann, Peter""","""Moores-Tanvier, Margaux""",Print,Autistic In The Age Of Hookup Culture: How Online Dating Changes The Game,2016,13,autistic age hookup culture online dating changes game
"""Kann, Peter""","""Moores-Tanvier, Margaux""",Print,Autistic In The Age Of Hookup Culture: How Online Dating Changes The Game,2016,13,autistic age hookup culture online dating changes game
"""Cooper, Ann""","""Mulaudzi, Shandukani""",Print And Dvd,Obama'S Clemency Project: A Broken Solution For A Broken System,2016,10,obamas clemency project broken solution broken system
"""Bradley, Theresa""","""Najmabadi, Shannon""",Print,Three-Tiered Justice: Public Defender Funding In New York,2016,8,threetiered justice public defender funding
"""Meagher, Thomas""","""Namubiru, Lydia""",Print,"""Brain Drain From Africa Is Often Brain Drain In The U.S.: Blamed For Causing Brain Drain Back Home, Many College Educated African Immigrants Are Stuck In Blue-Collar Work In The U.S.""",2016,31,brain drain africa often brain drain us blamed causing brain drain back home many college educated african immigrants stuck bluecollar work us
"""Padawer, Ruth""","""Negash, Bethelhem T.""",Print,The Journey Of Educated Immigrants In The U.S.,2016,8,journey educated immigrants us
"""Blair, Gwenda""","""Neil, Emily""",Print,"""The Pursuit Of Happiness: America'S Fight To Reduce Stigma Surrounding Mental Illness, And Improve Access To Care""",2016,17,pursuit happiness americas fight reduce stigma surrounding mental illness improve access care
"""Alarcon, Daniel""","""Norris, Courtney""",Print,Borough Park'S Breadwinners: A New Wealth Of Loans Financing Old Traditions Of Hasidic Women,2016,14,borough parks breadwinners wealth loans financing old traditions hasidic women
"""Hiatt, Anna And Michael Shapiro""","""Northcott, Charles""",Print,The Last Winter,2016,3,last winter
"""Hickey, Neil""","""Nyanchwani, Silas Ondicho""",Print,Cancer Scourge In Kenya: Where Does The Buck Stop!,2016,9,cancer scourge kenya buck stop
"""Shapiro, Michael""","""O'Hara, Rosa""",Print,How A Sex Worker From The 1970S Saved My Life,2016,10,sex worker 1970s saved life
"""Kann, Peter""","""Oh, Sue-In""",Print,The Boutique Studio Nomads,2016,4,boutique studio nomads
"""Heinzerling, Larry""","""Olmos, Stassy""",Print,When Too Much Of A Good Thing Becomes Bad: The Mental Health Behind The Obsession With Working Out,2016,18,much good thing becomes bad mental health behind obsession working
"""French, Howard""","""Oswald, Fahrinisa""",Dvd,"""Islamerica (No Print, Only Dvd)""",2016,5,islamerica print dvd
"""Segnini, Giannina""","""Paoli, Marie-Emma""",Print,The Panama Papers: How Uzbek And Russian Criminals Are Hiding Their Money The United Arab Emirates,2016,16,panama papers uzbek russian criminals hiding money united arab emirates
"""Gardiner, Susannah""","""Pathi, Krutika""",Print,There'S More Talking Than Sex In Polyamory: An Exploration Of The Everyday Dynamics In A 'Poly Quad',2016,17,theres talking sex polyamory exploration everyday dynamics poly quad
"""Blair, Gwenda""","""Paulsen, Stephen""",Print,Ghosts Along Tiebout Avenue: The True Cost Of Gun Violence,2016,10,ghosts along tiebout avenue true cost gun violence
