advisor,author,project_format,title,year,title_word_count,title_clean
"Belford, Barbara","Aaron, Kenneth",Print,The Decline Of The Garment District,1995,6,decline garment district
"Rosenblatt, Roger","Agee, Amanda",Print,Women Behind Bars,1995,3,women behind bars
"Svoboda, Wayne","Almeida, Miguel F.",Print,"Brazucas In New York, The Struggles Of A Fragmented Brazilian Community",1995,11,brazucas struggles fragmented brazilian community
"Hoyt, Michael","Ames,Benjamin",Print,"The Privatization Of Services In New York City Parks, A Case Study In Queens",1995,14,privatization services parks case study queens
"Shipp, E. R.","Amin, Rula",Print,Palestinian Americans And The Peace Talks,1995,6,palestinian americans peace talks
"Tillman Irving, Jane","Anderson, Lisa",Print,West Indian Immigrants And Savings Clubs In New York: How West Indian Immigrants Affected The Lending Policies Of New York Banks,1995,21,west indian immigrants savings clubs west indian immigrants affected lending policies banks
"Gissler, Sig","Argy, Stephanie",Print,The Porn Shop Around The Corner,1995,6,porn shop around corner
"Ross, Steven S.","Arons, Rana",Print,Peter J. Callahan: Tabloid Tsar,1995,5,peter j callahan tabloid tsar
"Topping, Seymour","Aronson, Raney",Print,A Nation Living In Exile,1995,5,nation living exile
"Shipp, E. R.","Asato, Cathy",Print,Womens Spirituality Through Pagan Expression,1995,5,womens spirituality pagan expression
"Mills, Joshua","Baldwin, Kirsten",Print,The Continuing Saga Of Daytime Drama,1995,6,continuing saga daytime drama
"Wolff, Craig","Behrend, David W.",Print,"Burning Out And Fading Away: The Long, Slow Death Of The Brooklyn Navy Yard Incinerator",1995,15,burning fading away long slow death brooklyn navy yard incinerator
"Cohen, Daniel","Benvenutti, Wanda",Print And Slides,Model Stories,1995,2,model stories
"Klatell, David","Berman, Carol",Print And Video,Waiting For Justice,1995,3,waiting justice
"Shapiro, Michael","Bertoni, Fabio",Print,Panther Redux,1995,2,panther redux
"Ross, Steven S.","Bhonslay, Marianne M.",Print,World Cup Soccer In America: The Odyssey Of Joe-Max Moore,1995,10,world cup soccer america odyssey joemax moore
"Mills, Joshua","Bierbauer, Erik",Print,The Fall Of The Grumman Empire: Long Islanders Struggle As Big Defense Contractor Fades,1995,14,fall grumman empire long islanders struggle big defense contractor fades
"Padwe, Sandy","Breton, Myriam",Print,535 East 13Th Street: The Portrait Of A Squatters Life,1995,10,535 east 13th street portrait squatters life
"Shapiro, Michael","Butler, Ellen",Print,Problems Of Prosperity,1995,3,problems prosperity
"Gissler, Sig","Byrne, William K.",Print,Breaking The Habit: The Stories Of Three Suburban Heroin Addicts,1995,10,breaking habit stories three suburban heroin addicts
"Levine, Suzanne","Caldwell, Kelly K.",Print,"Pranksters, Predators And Punishment: Dealing With Violent Children",1995,8,pranksters predators punishment dealing violent children
"Levine, Suzanne","Cao, Connie",Print,Trudging To Democracy,1995,3,trudging democracy
"Svoboda, Wayne","Caushi, Genc",Print,An Ever Growing Albanian Community In The Bronx,1995,8,ever growing albanian community bronx
"Goldstein, Kenneth","Chang, Leslie",Print,Our Bodies Are Not Ourselves: Pregnant Women And The Choices They Make,1995,12,bodies pregnant women choices make
"Belford, Barbara","Chaudry, Nina",Print,Vendors Or Victims? Confining Street Peddlers To A Market,1995,9,vendors victims confining street peddlers market
"Gissler, Sig","Chen, I-Chun",Print,The Many Faces Of Chinatown: Long-Time Residents Look To The Future,1995,11,many faces chinatown longtime residents look future
"Ross, Steven","Chiang, Sharline",Print,Hanging On The Net: In Search Of Generation Internet,1995,9,hanging net search generation internet
"Svoboda, Wayne","Chivers, C. J.",Print,Shades Of Green,1995,3,shades green
Title: The Throw Away Kids,"Choo, Gene",Video,The Throw Away Kids,1995,4,throw away kids
"Johnson, Derwin","Chung, Patricia",Print,Feng Shui: An Ancient Chinese Practice Finds A Home In New York,1995,12,feng shui ancient chinese practice finds home
"Goldman, Ari","Cohen, Mark Francis",Print,The Keeper And The Kept: Why Are Prisoners Filing So Many Lawsuits?,1995,12,keeper kept prisoners filing many lawsuits
"Rosenblatt, Roger","Colley, Perri",Print,War On Sex,1995,3,war sex
"Wolff, Craig","Conty, Melanie",Print,The Most Secret Prison,1995,4,secret prison
"Rosenblatt, Roger","Cosby, Russell D.",Print,Harlems Abandoned Buildings,1995,3,harlems abandoned buildings
"Garland, Phyllis","Cotter, Kelly-Jane",Print,Subway Serenade,1995,2,subway serenade
"Wolff, Craig","Cullinane, Julie",Print,A Place For Jimmy,1995,4,place jimmy
"Shipp, E. R.","De Camaret, Caroline",Print,Advertising To Chinese New Yorkers,1995,5,advertising chinese yorkers
"Carey, James","Dignan, Larry",Print,Prison Life: The Voice Of The Convict,1995,7,prison life voice convict
"Shipp, E. R.","Dooley, Tara",Print,Recent Immigrants Take On The Bronx: A New Wave Makes The Borough Its Own,1995,14,recent immigrants take bronx wave makes borough
"Svoboda, Wayne","Drobyshev, Igor A.",Print,Americas Political Correctness And The Soviet Ideological Correctness: Soulmates?,1995,9,americas political correctness soviet ideological correctness soulmates
"Hoyt, Michael","Dubey, Siddharta",Print,From Brownsville To Manhattan: Brenda Changes More Than Just A School,1995,11,brownsville manhattan brenda changes school
"Garland, Phyllis","Duruaky Mark, Christine, A.",Print,Oyigbo: Black Women From The Americas Talk About Their Marriages To Nigerian Men,1995,13,oyigbo black women americas talk marriages nigerian men
"Klatell, David","Erlanger, Peri",Print And Video,Waiting For Justice,1995,3,waiting justice
"Rosenblatt, Roger","Estreich, Lisa",Print,Changes Of Heart: What Changes When A Person Has A Heart Transplant,1995,12,changes heart changes person heart transplant
"Gissler, Sig","Fellman, Drew",Print,A Woodstock Nation,1995,3,woodstock nation
"Belford, Barbara","Fernandez, Melissa",Print,Holistic Medicine,1995,2,holistic medicine
"Padwe, Sandy","Fink, Micah S.",Print,"Betrayals Of Faith: Anti-Semitism And Espionage At Fort Monmouth, N.J.",1995,10,betrayals faith antisemitism espionage fort monmouth nj
"Rosenblatt, Roger","Fishbein, Amy",Print,"Fashion, Vanity And The New American Man",1995,7,fashion vanity american man
"Shapiro, Michael","Florida, Robert",Print,Profile Of Shammgod Wells,1995,4,profile shammgod wells
"Herford, Peter","Fung, Melissa",Video,The Herbal Mystique,1995,3,herbal mystique
"Goldman, Ari","Futterman, Matthew",Print,New Faces Of A Plague: The Next Generation Of Aids In America,1995,12,faces plague next generation aids america
"Gissler, Sig","George, Chloe A. M.",Print,Survival Games,1995,2,survival games
"Lipton, Rhoda","Ghoneim, Natasha",Print,Minds Of Change: The People Of Kelly Street,1995,8,minds change people kelly street
"Goldman, Ari","Giordano, Anne",Print,Take One: A Look At New York Universitys Graduate School Of Film,1995,12,take one look universitys graduate school film
"Garland, Phyllis","Goodison, Debbie",Print,Free At Last? Black Writers Struggle To Be Published,1995,9,free last black writers struggle published
"Hoyt, Michael","Gorchev, Leila",Print,At Odds Over Bilingualism: Should The Citys Public Schools Make The Kids Sink Or Swim?,1995,15,odds bilingualism citys public schools make kids sink swim
"Hoyt, Michael","Greenblatt, Sarah",Print,New Asylum: The Mentally Ill In Prison,1995,7,asylum mentally ill prison
"Shapiro, Michael","Greenleaf, Timothy C.",Print,"Private Lives, Public Information",1995,4,private lives public information
"Tillman Irving, Jane","Grimes, Nancy",Audio,Cbs: Murrow'S Years,1995,3,cbs murrows years
"Ross, Steven S.","Guess, Carl",Print,Side By Side: Two Harlem Blocks On The Road To Recovery,1995,11,side side two harlem blocks road recovery
"Wolff, Craig","Habiby, Margot",Print,"Beyond Roots, Palestinian-Americans Insure Peace With Dollars",1995,7,beyond roots palestinianamericans insure peace dollars
"Hoyt, Michael","Hambro, Sarah",Print,Around The World With Daddys Job: Diplomats Children And How Their Traveling Childhood Shapes Their Life,1995,16,around world daddys job diplomats children traveling childhood shapes life
"Shipp, E. R.","Han, Phawon",Print,"Women With A Pen And A Gun: Female Mystery Novelists Struggle With Good, Evil And Reality",1995,16,women pen gun female mystery novelists struggle good evil reality
"Goldman, Ari","Heiman, J. D.",Print,He Just Disappeared,1995,3,disappeared
"Levine, Suzanne","Heuer, Steffan",Print,Redemption In A Boot Camp: Mentally Ill Drug Addicts Turn Their Lives Around,1995,13,redemption boot camp mentally ill drug addicts turn lives around
"Goldstein, Kenneth","Hensley, Scott",Print,Crisis In Biomedical Research Funding: Young Investigators At Risk,1995,9,crisis biomedical research funding young investigators risk
"Rosenblatt, Roger","Herrera, Stephan",Print,The Next Nuclear Conundrum,1995,4,next nuclear conundrum
"Tillman Irving, Jane","Hicks, Daniel",Print,A Table Of Two Buddhisms,1995,5,table two buddhisms
"Johnson, Derwin","Ho, Jackie",Print,"The Herald Youth Center: A Beacon Of Hope For Chinatowns Street Kids, Pulling Teens Out Of The Gangs Thorugh The Church",1995,21,herald youth center beacon hope chinatowns street kids pulling teens gangs thorugh church
"Belford, Barbara","Houston, Frank",Print,Fare Game: Overhauling New Yorks Yellow Cab Industry,1995,8,fare game overhauling yorks yellow cab industry
"Garland, Phyllis","Inose, Hiniji",Print,For The Sake Of The Children,1995,6,sake children
"Garland, Phyllis","Isaacs, Nora",Print,The Spoken Word: Poetry Goes Public,1995,6,spoken word poetry goes public
"Goldman, Ari","Jensen, Kristine Jane",Print,Starpackers: The Fortunes Of Women In The U.S. Coast Guard,1995,10,starpackers fortunes women us coast guard
"Klatell, David","Jha, Alok K.",Print,Suffering In Silence,1995,3,suffering silence
"Johnson, Derwin","Johnson, Scott",Video,"Kid Stuff: Mtv News Breaking Through A ""Will Work For Food"" Production",1995,12,kid stuff mtv news breaking work food production
"Carey, James","Kampel, Traci M.",Print,The Serious Business Of Comedy Writing: Who Trying To Keep Saturday Night Live From Going Too Far,1995,17,serious business comedy writing trying keep saturday night live going far
"Padwe, Sandy","Kandler, Stephanie",Print,Childhood Interrupted: Tales From The Kindertransport,1995,6,childhood interrupted tales kindertransport
"Belford, Barbara","Karim, Shahabadeen",Print,Holy Wars,1995,2,holy wars
"Levine, Suzanne","Keating, Suzanne",Print,Kosevo Brain Drain: Exhaustion And Emigration Erode Sarajevos Trauma Center,1995,10,kosevo brain drain exhaustion emigration erode sarajevos trauma center
"Tillman Irving, Jane","Kershaw, Sarah",Audio,A Peoples Hospital: The Harlem Story,1995,6,peoples hospital harlem story
"Garland, Phyllis","Kilpatrick, Joel",Print,Poetry Aint Dead,1995,3,poetry aint dead
"Tillman Irving, Jane","Kim, Linda",Print,Elderly Korean In New York 20 Years After Immigration,1995,9,elderly korean 20 years immigration
"Rosenblatt, Roger","Krochmal, Maurice M.",Print,"Tierra Feliz, Tierra Triste: The Consequences Of The Happy Land Fire",1995,11,tierra feliz tierra triste consequences happy land fire
"Belford, Barbara","Kroll, Luisa",Print,Todays Neighborhood Cop -- Foot Patrol In New York City Public Housing,1995,12,todays neighborhood cop foot patrol public housing
"Carey, James","Kuiang, Hau",Print,Nypd Blues: Cops Turning Their Gun On Themselves,1995,8,nypd blues cops turning gun
"Hoyt, Michael","Kyle, Angela D.",Print,Hype(R) Text: The Future Or Fiction?,1995,6,hyper text future fiction
Rhoda Lipton,"Latman, Audrey",Video,"""Till Death Does Them Part""",1995,5,till death part
"Wolff, Craig","Lee, Helen A.",Print,Poetry For The Masses: An Art Slams Into Entertainment,1995,9,poetry masses art slams entertainment
"Herford, Peter","Lee, Jane Lanhee",Print And Video,The Herbal Mystique,1995,3,herbal mystique
"Garland, Phyllis","Lee, Jean H.",Print,Invisible Man: The Emasculation Of The Asian-American Male,1995,8,invisible man emasculation asianamerican male
"Wolff, Craig","Lefer, David G.",Print,Bettors Prison: Elderly Gamblers In Atlantic City,1995,7,bettors prison elderly gamblers atlantic
"Rosenblatt, Roger","Lewine, Edward",Print,Diversity Training: The New American Conformity,1995,6,diversity training american conformity
"Belford, Barbara","Liberman, Margaret",Print,Aids Orpans: The Invisible Victims,1995,5,aids orpans invisible victims
"Ross, Steven S.","Ling, Chien-Suei Connie",Print,Journey Away From Home -- Asian Adoptees In America,1995,9,journey away home asian adoptees america
"Wolff, Craig","Liu, Lynda Y.",Print,Gross Anatomy,1995,2,gross anatomy
"Garland, Phyllis","Lochard, Johanne",Print,Repelling The Lure Of Eros: The Sex Industry In New York,1995,11,repelling lure eros sex industry
"Goldstein, Kenneth","Lyons, Sean",Print,Hardly An Angle Of Repose,1995,5,hardly angle repose
"Topping, Seymour","Macgregor, Hilary",Print,Where Have All The Jets Gone?,1995,6,jets gone
Rhoda Lipton,"Maltais, Michelle",Video,"""Till Death Does Them Part""",1995,5,till death part
"Goldstein, Kenneth","Mastrolilli, Paolo",Print,"Hackers, Criminals, Or Heroes?",1995,4,hackers criminals heroes
"Belford, Barbara","Mcaleer, Bernard",Print,Advocates And Healers: Political Asylum For Survivors Of Torture,1995,9,advocates healers political asylum survivors torture
"Shipp, E. R.","Mckenna, Christine",Print,To Tell You The Truth: A Peek Inside The Mind Of The Con Artist,1995,14,tell truth peek inside mind con artist
"Garland, Phyllis","Megevick, William",Print,Out For Office: Openly Gay And Lesbian Elected Officials,1995,9,office openly gay lesbian elected officials
"Garland, Phyllis","Menon, Kavita",Print,Home Growing: The Development Of A Harlem Cooperative,1995,8,home growing development harlem cooperative
"Johnson, Derwin","Moffatt, Barbara",Video,"Kid Stuff: Mtv News Breaking Through, A ""Will Work For Food"" Production",1995,12,kid stuff mtv news breaking work food production
"Levine, Suzanne","Moriarty, Colleen A.",Print,Tracking The Fat Tire At Ski Areas,1995,7,tracking fat tire ski areas
"Gissler, Sig","Moroney, John",Print,Divine Inspiration? How The Media Covers Religion,1995,7,divine inspiration media covers religion
"Carey, James","Morrison, Chris",Print,"In The Shadow Of The Cease-Fire, New Yorks Irish American Activists",1995,11,shadow ceasefire yorks irish american activists
"Klatell, David","Narayan, Shoba",Print,Child Care,1995,2,child care
"Klatell, David","Nelson, Tricia L.",Print,"The Real World, Mtv-Style",1995,4,real world mtvstyle
"Rosenblatt, Roger","Norton, Stephen J.",Print,Hasidic Neighborhood Patrols: Controversies And Questions In The Effort To Make Safe Streets,1995,13,hasidic neighborhood patrols controversies questions effort make safe streets
"Padwe, Sandy","Nutt, Amy Ellis",Print,By The Awful Grace Of God: One Womans Journey From Hell To Healing,1995,13,awful grace god one womans journey hell healing
"Topping, Seymour","Oliveri, Frank",Print,Military Operations Other Than War: One Mission Too Many?,1995,9,military operations war one mission many
"Hoyt, Michael","Onion, Amanda K.",Print,Courting The Russian Jew,1995,4,courting russian jew
"Shipp, E. R.","Padgett, Tania",Print,A Zone Of Discontent,1995,4,zone discontent
"Ross, Steven S.","Padovano, Anthony",Print,Body Shop V. Jon Entine,1995,5,body shop v jon entine
"Goldman, Ari","Pamulaklakin, Xenia",Print,A Community In Search Of An Identity: The Filipino Immigrant Community,1995,11,community search identity filipino immigrant community
"Wolff, Craig","Parrish, La Shawnda M.",Print,The Family Preservation Program,1995,4,family preservation program
"Shpp, E. R.","Patz, Aviva",Print,Obstetric Roulette: Do Labor And Delivery Drugs Increase A Babys Likelihood Of Disability?,1995,13,obstetric roulette labor delivery drugs increase babys likelihood disability
"Herford, Peter","Paul, Smita Madan",Print And Video,The Herbal Mystique,1995,3,herbal mystique
"Gissler, Sig","Perlmuter, Nick",Print,They Know How To Get Us Fear Of Crime Among New Yorks Urban Elderly,1995,14,know get us fear crime among yorks urban elderly
"Lipton, Rhoda","Peters, Ron",Video,Minds Of Change: The People Of Kelly Street,1995,8,minds change people kelly street
"Rosenblatt, Roger","Pettus, Elise",Print,The Return Of The Pequots,1995,5,return pequots
"Belford, Barbara","Phuntsho, Tashi",Print,Dowry: A Duty-Free Hindu Import,1995,5,dowry dutyfree hindu import
"Herford, Peter","Pike, Amanda",Audio,"Spells, Circles, And The Sacred Bic: Dispelling Myths About Witchesroad Kill On The Information Superhighway?",1995,15,spells circles sacred bic dispelling myths witchesroad kill information superhighway
"Rosenblatt, Roger","Poole, Gary Andrew",Print,The Year Aids Went Away,1995,5,year aids went away
"Goldman, Ari","Power, Carla",Print,Americas Young Muslims: New World Pioneers,1995,6,americas young muslims world pioneers
"Garland, Phyllis","Preli, Michelle",Print,On Their Wives Skirt-Tales: Male Spouses Of Female Politicians,1995,9,wives skirttales male spouses female politicians
"Rosenblatt, Roger","Prospero, Linda",Print,Sister Schools -- A World Apart,1995,6,sister schools world apart
"Tillman Riving, Jane","Pulido, Lorena",Print,Three Chicanas Soaring Like The Mexican Eagle,1995,7,three chicanas soaring like mexican eagle
"Goldman, Ari","Quittner, Jeremy D.",Print,Coming Out After Marriage: Older Gay Men Abandon The Closet,1995,10,coming marriage older gay men abandon closet
"Mccarthy, Sheryl","Ramaswami, Srikant",Print,Arranged Marriages: Why Indian Americans Are Reverting To Tradition In Finding Their Mates,1995,13,arranged marriages indian americans reverting tradition finding mates
"Goldman, Ari","Reynolds, Joseph",Print,Building A Middle Class Ghetto,1995,5,building middle class ghetto
"Goldstein, Kenneth","Reynolds, Mark",Print,Adventures In Housing Court,1995,4,adventures housing court
"Goldstein, Kenneth","Richards, Linda",Print,Asthma: Epidemic Among The Poor,1995,5,asthma epidemic among poor
"Ross, Steven S.","Roberson, Dana M.",Print,Dr. Selma Burke A Living Legend,1995,6,dr selma burke living legend
"Tillman Irving, Jane","Robinson, Bryan W.",Print,"To Laugh, Or Not To Laugh? Dat Iz Thee Question.",1995,10,laugh laugh dat iz thee question
"Shipp, E. R.","Robledo Wade, Svetlana Jhoanna",Print,The Motherhood Maze,1995,3,motherhood maze
"Shapiro, Michael","Robson, Douglas O.",Print,Campus Taboo: Openly Gay Male Collegiate Athletes,1995,7,campus taboo openly gay male collegiate athletes
"Garland, Phyllis","Roy, Elizabeth",Print,Eighty Million Dollars,1995,3,eighty million dollars
"Padwe, Sandy","Salazar, Steve J.",Print,"The Transition Game, Four Basketball Champions -- A Decade Later",1995,10,transition game four basketball champions decade later
"Johnson, Derwin","Saldana, Dave",Video,Kid Stuff: Mtv News Breaking Through,1995,6,kid stuff mtv news breaking
"Gissler, Sig","Sanminiatelli, Maria",Print,Kids And Guns: A Parallel Universe,1995,6,kids guns parallel universe
"Klatell, David","Santaniello, Elise H.",Print,Pbs: Dying At Its Own Hand,1995,6,pbs dying hand
"Mccarthy, Sheryl","Sarkar, Pia",Print,Women In The Republican Party: A Slow March For Womens Rights By Women On The Right,1995,16,women republican party slow march womens rights women right
"Goldstein, Kenneth","Sausner, Rebecca",Print,Asbestos And Immigrants,1995,3,asbestos immigrants
"Svoboda, Wayne","Savino, Lenny",Print,Kansas Mystery Tour,1995,3,kansas mystery tour
"Mccarthy, Sheryl","Schoenung, Michelle",Print,Mexican Migration To New York City,1995,6,mexican migration
"Padwe, Sandy","Schubert, Ruth",Print,Aids And Assisted Suicide: Caring For The Dying By Helping Them Die,1995,12,aids assisted suicide caring dying helping die
"Svoboda, Wayne","Schuetz, Molly",Print,Get Your Gucci Here Senegalese Street Peddlers In Midtown,1995,9,get gucci senegalese street peddlers midtown
"Klatell, David","Shuknov, Konstantin",Print,Zhirinovsky Phenomenon,1995,2,zhirinovsky phenomenon
"Shipp, E. R.","Sims, Grover Thomas",Print,Of Tupperware And Women,1995,4,tupperware women
"Belford, Barbara","Skolnick, Ethan",Print,Midnight Blue,1995,2,midnight blue
"Goldman, Ari","Smith, Trisha",Print,Jewish Return: Young Jews Are Finding A Spiritual Home At B'Nai Jeshurun,1995,12,jewish return young jews finding spiritual home bnai jeshurun
"Gissler, Sig","Snadowsky, Leslie Tamar",Print,"So, You Want To Be A Rock N' Roll Star?",1995,10,want rock n roll star
"Cohen, Daniel","Snel, Ross",Print,"Teaching Hope: A Brooklyn Community""S Experiment In Education",1995,8,teaching hope brooklyn communitys experiment education
"Goldstein, Kenneth","Snider, Anna",Print,Harlem Vendors: Anatomy Of A Street Sweep,1995,7,harlem vendors anatomy street sweep
"Shipp, E. R.","Spellman, Donna Page Rander",Print,Fascinating Rhythm: The Future Of Jazz Music Education In America,1995,10,fascinating rhythm future jazz music education america
"Goldman, Ari","Stein, Jo",Print,Fighting Cancer With Alternative Medicine -- One Womans Story,1995,9,fighting cancer alternative medicine one womans story
"Goldstein, Kenneth","Suri, Rajee",Print,The Return Of The Dragon: Heroin Is Here Again This Time To Haunt Women,1995,14,return dragon heroin time haunt women
Title: The Throw Away Kids,"Taguba, Nerissa",Video,The Throw Away Kids,1995,4,throw away kids
"Garland, Phyllis","Taylor, Amanda",Print,The Economic Cost Of Gun Violence,1995,6,economic cost gun violence
"Ross, Steven S.","Teich, David",Print,"Neil Yerman, Scribe",1995,3,neil yerman scribe
"Mccarthy, Sheryl","Texeira, Erin M.",Print,In Disgrace: The Governments Response To Gulf War Syndrome,1995,9,disgrace governments response gulf war syndrome
"Levine, Suzanne","Thormann, Monique",Print,Stressed Out From The War Zone: International Relief Workers And Post-Traumatice Stress Disorder,1995,13,stressed war zone international relief workers posttraumatice stress disorder
"Shapiro, Michael","Timmermans, Jeffrey",Print,Unlikely Exiles: How Japanese Women Are Finding Career Freedom In Exile,1995,11,unlikely exiles japanese women finding career freedom exile
"Topping, Seymour","Tranberg, Pernille",Print,Women Seek Exile,1995,3,women seek exile
"Svoboda, Wayne","Tsao, Jennifer",Print,Young Americans And Aliyah,1995,4,young americans aliyah
"Lipton, Rhoda","Turner, Kimberly",Video,Minds Of Change: The People Of Kelly Street,1995,8,minds change people kelly street
"Klatell, David","Tuthill, Kelley",Print And Video,Waiting For Justice,1995,3,waiting justice
"Wolff, Craig","Uprichard, Zoe",Print,Velma Living With Aids,1995,4,velma living aids
"Herford, Peter","Van Den Houten, Tania",Print,Alcoholism In Indian Country,1995,4,alcoholism indian country
"Herford, Peter","Vertola, Carol",Print,"Myth, Malady, Muse, Or Miracle: Walking The Line Between Genius And Madness",1995,12,myth malady muse miracle walking line genius madness
"Goldstein, Kenneth","Waithaka, Njeru",Print,The Rift Between Africans And African-Americans,1995,6,rift africans africanamericans
"Goldstein, Kenneth","Weiss, Eric M.",Print,A Little Mao In Their Hearts: Refocusing The Chinese Democracy Movement,1995,11,little mao hearts refocusing chinese democracy movement
"Padwe, Sandy","Weissman, Rachel X.",Print,Damn Watery,1995,2,damn watery
"Wolff, Craig","Weiszer, Marc",Print,Queens Of The Court: A Season With The Christ The King Royals,1995,12,queens court season christ king royals
"Tillman Irving, Jane","Windall, Carline",Print And Audio,"Jamaicans: Living Here, Looking Back",1995,5,jamaicans living looking back
"Tillman Irving, Jane","Winder, Tara M.",Audio,Neighbors In Conflict: The South Bronx And The Yankees,1995,9,neighbors conflict south bronx yankees
Rhoda Lipton,"Woo, Alison",Video,"""Till Death Does Them Part""",1995,5,till death part
"Rosenblatt, Roger","Woo, Anita",Print,When East Meets West,1995,4,east meets west
"Mccarthy, Sheryl","Yuan, Debbie",Print,The Business Of Baby-Making,1995,4,business babymaking
Michael Shapiro,"Adamson, Loch",Print,"Taking Solace In Solidarity: The Politics Of Defining ""Postpartum Depression""",1996,10,taking solace solidarity politics defining postpartum depression
Robert Friedman,"Akasie, John",Print,Swimming The Tiber; Former Episcopal Priests Are Finding A Roman Catholic Niche,1996,12,swimming tiber former episcopal priests finding roman catholic niche
Helen Benedict,"Alampay, Jose Roberto",Print,Vicky'S Army; Filipino World War Ii Veterans Struggle For Recognition -- And Survival -- In America,1996,16,vickys army filipino world war ii veterans struggle recognition survival america
Barbara Belford,"Alkon, Cheryl",Print,Balancing The Seesaw: Living With Diabetes -- Who Adapts And Why?,1996,11,balancing seesaw living diabetes adapts
Peter Herford,"Angulo, Erika",Video,Geralyn'S Story,1996,2,geralyns story
Nancy Sharkey,"Ashida, Midori",Print,Predicting Earthquakes,1996,2,predicting earthquakes
Robert Friedman,"Aubin, Dena",Print,The Quiet Crisis: Seeking Fairness For Gifted Minorities,1996,8,quiet crisis seeking fairness gifted minorities
Ari Goldman,"Azhar, Rubaina",Print,Shackled: The Plight Of Battered South Asian Women In The United States,1996,12,shackled plight battered south asian women united states
Wayne Svoboda,"Baker, Kim",Print,"Are We There Yet? Actually, No. American Business Fights For Equal Billing In Vietnam.",1996,14,yet actually american business fights equal billing vietnam
Rhoda Lipton,"Baptista, Maria Joao",Video,Havana On The Hudson,1996,4,havana hudson
Phyllis Garland,"Barraza, Ana Lilia",Print,The Creation Of A Cyber-Latino Community,1996,6,creation cyberlatino community
Suzanne Levine,"Barth, Carmen Diana",Print,Belmont'S One Of A Kind Middle School,1996,7,belmonts one kind middle school
David Klatell,"Belman, Orli",Audio,Abortion & Miscarriage - Healing Through Ritual,1996,7,abortion miscarriage healing ritual
David Klatell,"Belson, Kenneth Jon",Print,Intellectual Mercantilism: Japanese Corporate Investment On U.S. Campuses,1996,8,intellectual mercantilism japanese corporate investment us campuses
Barbara Belford,"Belton, Elizabeth M.",Print,Gaining New Vision,1996,3,gaining vision
Mike Hoyt,"Berman, Michele",Print,Searching For Mr. Orthodox,1996,4,searching mr orthodox
Ari Goldman,"Bernstein, Elizabeth Anne",Print,For Pete'S Sake,1996,3,petes sake
Phyllis Garland,"Berroll, Philip",Print,"""Laugh Goddamit!"" The Stand-Up Comedy Boom Of The Eighties - And How It Went Bust",1996,15,laugh goddamit standup comedy boom eighties went bust
Craig Wolff,"Bollinger, Sarah",Print,Families Who Wait For Natlfed Survivors,1996,6,families wait natlfed survivors
Michael Shapiro,"Bower, Amanda",Print,"The Three-Legged Stool; Why One Released Prisoner Is Not Working, Not Staying Clean And Unlikely To Stay Out",1996,18,threelegged stool one released prisoner working staying clean unlikely stay
Derwin Johnson,"Boxer, Elisa",Video,Shadow Over Queens,1996,3,shadow queens
Sig Gissler,"Boyce, Debra",Print,Counterfeiting: The Crime Of The 21St Century,1996,7,counterfeiting crime 21st century
Michael Shapiro & Sree Sreenivasan,"Broadhurst, Michal",Print,"Is Kirkpatrick Sale Crazy, Or Is He Right: Are New Technologies Destroying The Natural Environment In Which We Should Live?",1996,20,kirkpatrick sale crazy right technologies destroying natural environment live
Helen Benedict,"Bryant-Friedland, Bruce",Print,Twilight Of An Integrated Neighborhood,1996,5,twilight integrated neighborhood
Nancy Sharkey,"Buffalo, Sally B.",Print,"""Campaigning In Cyberspace: Presidential Candidates Go On-Line""",1996,7,campaigning cyberspace presidential candidates go online
Samuel Freedman,"Burke, Barbara M.",Print,The Long White Line: Integration And Segregation In Professional Dance Companies,1996,11,long white line integration segregation professional dance companies
Wayne Svoboda,"Burstyn, Gerald",Print,"Descent Into Homelessness: Two Women""S Stories",1996,6,descent homelessness two womens stories
Bruce Porter,"Campbell, Nicole",Print,"""Whiggers"": The Blackwashing Of The White Culture?",1996,7,whiggers blackwashing white culture
David Krajicek,"Canning, Elizabeth",Print,Lawsuit,1996,1,lawsuit
David Krajicek,"Caring, Gerard",Print,Trial By Fire; The Olympic Dream Of Today'S Student-Athlete,1996,9,trial fire olympic dream todays studentathlete
Suzanne Levine,"Carpenter-Baker, Karen",Print,"Racism At Resurrection Roman Catholic Church: How It Divided This Harlem Church, And How The Parish Is Healing",1996,18,racism resurrection roman catholic church divided harlem church parish healing
Samuel Freedom,"Carr, Sean D.",Print,Hearing The Call; Two Men And Their Journeys To The Priesthood,1996,11,hearing call two men journeys priesthood
Steven Ross,"Cary, Andrew",Print,Catskills Casino,1996,2,catskills casino
Craig Wolff,"Cheshes, Jay",Print,Legion Of The Lost,1996,4,legion lost
Michael Shapiro,"Cheshire, Mark R.",Print,Is There Spin Doctor In The House?,1996,7,spin doctor house
Michael Shapiro,"Chesto, Jonathan",Print,Is The Register Citizen Still A Good Citizen,1996,8,register citizen still good citizen
Helen Benedict,"Ciuraru, Carmela",Print,Smells Like Teen Purity,1996,4,smells like teen purity
Ken Goldstein,"Clark, Andrew",Print,Judgement: Will 'Trash' Tv Survive The Bcaklash Against Daytime Talk,1996,10,judgement trash tv survive bcaklash daytime talk
