issue,time,title,type,url,weekday
LAW & JUSTICE,"Jun 6, 2017",Remarks by the Vice President at the National Catholic Prayer Breakfast,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-national-catholic-prayer-breakfast/,Tuesday
FOREIGN POLICY,"Jun 6, 2017",Readout of President Donald J. Trump’s Call with King Salman Bin Abdulaziz Al Saud of Saudi Arabia,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-king-salman-bin-abdulaziz-al-saud-saudi-arabia/,Tuesday
LAW & JUSTICE,"Jun 6, 2017",President Donald J. Trump Signs H.R. 375 into Law,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-h-r-375-law/,Tuesday
LAW & JUSTICE,"Jun 6, 2017",President Donald J. Trump Signs H.R. 366 into Law,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-h-r-366-law/,Tuesday
BUDGET & SPENDING,"Jun 6, 2017",Substitute Amendment to H.R. 10 – Financial CHOICE Act of 2017,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/substitute-amendment-h-r-10-financial-choice-act-2017/,Tuesday
INFRASTRUCTURE & TECHNOLOGY,"Jun 6, 2017",Editorial Boards Praise President Trump’s Air Traffic Control Reform Plan,NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/editorial-boards-praise-president-trumps-air-traffic-control-reform-plan/,Tuesday
not found,"Jun 5, 2017",Press Briefing by Principal Deputy Press Secretary Sarah Sanders and VA Secretary David Shulkin,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-principal-deputy-press-secretary-sarah-sanders-va-secretary-david-shulkin-060517/,Monday
INFRASTRUCTURE & TECHNOLOGY,"Jun 5, 2017",President Donald J. Trump’s Principles for Reforming the U.S. Air Traffic Control System,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-principles-reforming-u-s-air-traffic-control-system/,Monday
FOREIGN POLICY,"Jun 5, 2017",Statement from the Press Secretary on the Visit of President Juan Carlos Varela of Panama,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-visit-president-juan-carlos-varela-panama/,Monday
not found,"Jun 5, 2017",Statement from the Press Secretary,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-3/,Monday
INFRASTRUCTURE & TECHNOLOGY,"Jun 5, 2017",Remarks by Vice President Pence in Introducing President Trump at Announcement of Air Traffic Control Initiative,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-introducing-president-trump-announcement-air-traffic-control-initiative/,Monday
HEALTHCARE,"Jun 5, 2017",Remarks by the Vice President at a Listening Session on Healthcare with Women Entrepreneurs,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-listening-session-healthcare-women-entrepreneurs/,Monday
INFRASTRUCTURE & TECHNOLOGY,"Jun 5, 2017",Remarks by President Trump at Announcement of Air Traffic Control Initiative,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-announcement-air-traffic-control-initiative/,Monday
FOREIGN POLICY,"Jun 5, 2017",Readout of the Vice President’s Meeting with Prime Minister of Montenegro Dusko Markovic,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-vice-presidents-meeting-prime-minister-montenegro-dusko-markovic/,Monday
FOREIGN POLICY,"Jun 5, 2017",Readout of U. S. National Security Advisor Lieutenant General H. R. McMaster’s Call with President Ashraf Ghani of Afghanistan,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-u-s-national-security-advisor-lieutenant-general-h-r-mcmasters-call-president-ashraf-ghani-afghanistan/,Monday
VETERANS,"Jun 5, 2017",President Donald J. Trump and First Lady Melania Trump Host White House Reception to Honor Gold Star Families,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-first-lady-melania-trump-host-white-house-reception-honor-gold-star-families/,Monday
INFRASTRUCTURE & TECHNOLOGY,"Jun 5, 2017",Letter from the President to Members of Congress,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/letter-president-members-congress/,Monday
INFRASTRUCTURE & TECHNOLOGY,"Jun 5, 2017",Former Transportation Secretaries Praise Air Traffic Control Reform,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/former-transportation-secretaries-praise-air-traffic-control-reform/,Monday
HEALTHCARE,"Jun 4, 2017",Statement from President Donald J. Trump on National Cancer Survivors Day,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-national-cancer-survivors-day/,Sunday
not found,"Jun 4, 2017",President Donald J. Trump and First Lady Melania Trump Celebrate Ford’s Theatre,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-first-lady-melania-trump-celebrate-fords-theatre/,Sunday
FOREIGN POLICY,"Jun 3, 2017",Readout of President Donald J. Trump’s Call with Prime Minister Theresa May of the United Kingdom,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-prime-minister-theresa-may-united-kingdom/,Saturday
not found,"Jun 2, 2017",Daily Press Briefing by Press Secretary Sean Spicer and EPA Administrator Scott Pruitt,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/daily-press-briefing-press-secretary-sean-spicer-epa-administrator-scott-pruitt-060217/,Friday
FOREIGN POLICY,"Jun 2, 2017",Vice President Mike Pence to Participate in the Conference on Prosperity and Security in Central America,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/vice-president-mike-pence-participate-conference-prosperity-security-central-america/,Friday
FOREIGN POLICY,"Jun 2, 2017",President Donald J. Trump’s Weekly Address,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-weekly-address/,Friday
LAW & JUSTICE,"Jun 2, 2017",President Donald J. Trump Signs S. 419 and S. 583 into Law,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-s-419-s-583-law/,Friday
LAND & AGRICULTURE,"Jun 2, 2017",President Donald J. Trump Approves Missouri Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-missouri-disaster-declaration/,Friday
ENERGY & ENVIRONMENT,"Jun 2, 2017",Editorial Boards Praise President Trump’s Paris Decision,NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/editorial-boards-praise-president-trumps-paris-decision/,Friday
FOREIGN POLICY,"Jun 1, 2017",Statement on the American Embassy in Israel,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-american-embassy-israel/,Thursday
FOREIGN POLICY,"Jun 1, 2017","Readout of President Donald J. Trump’s Telephone Calls with Chancellor Angela Merkel of Germany, President Emmanuel Macron of France, Prime Minister Justin Trudeau of Canada, and Prime Minister Theresa May of the United Kingdom",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-telephone-calls-chancellor-angela-merkel-germany-president-emmanuel-macron-france-prime-minister-justin-trudeau-canada-prime-ministe/,Thursday
ENERGY & ENVIRONMENT,"Jun 1, 2017",President Trump Puts American Jobs First,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-trump-puts-american-jobs-first/,Thursday
LAND & AGRICULTURE,"Jun 1, 2017",President Donald J. Trump Approves New Hampshire Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-new-hampshire-disaster-declaration/,Thursday
ENERGY & ENVIRONMENT,"Jun 1, 2017",Remarks by the Vice President Introducing President Trump’s Statement on the Paris Accord,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-introducing-president-trumps-statement-paris-accord/,Thursday
ENERGY & ENVIRONMENT,"Jun 1, 2017",Statement by President Trump on the Paris Climate Accord,REMARKS,https://www.whitehouse.gov/briefings-statements/statement-president-trump-paris-climate-accord/,Thursday
FOREIGN POLICY,"May 31, 2017",Joint Statement for Enhancing the Comprehensive Partnership between the United States of America and the Socialist Republic of Vietnam,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/joint-statement-enhancing-comprehensive-partnership-united-states-america-socialist-republic-vietnam/,Wednesday
not found,"May 31, 2017",Press Briefing by Secretary of Veterans Affairs David Shulkin,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-secretary-veterans-affairs-david-shulkin-053117/,Wednesday
FOREIGN POLICY,"May 31, 2017",Readout of President Donald J. Trump’s Call with President Ashraf Ghani of Afghanistan,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-president-ashraf-ghani-afghanistan/,Wednesday
FOREIGN POLICY,"May 31, 2017",Statement from the Press Secretary on the Visit of President Klaus Iohannis of Romania,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-visit-president-klaus-iohannis-romania/,Wednesday
not found,"May 29, 2017",Remarks by President Trump at Arlington National Cemetery,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-arlington-national-cemetery/,Monday
VETERANS,"May 29, 2017",Remarks by the Vice President at the Project Hero Bike Ride,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-project-hero-bike-ride/,Monday
LAND & AGRICULTURE,"May 26, 2017",President Donald J. Trump Approves Oklahoma Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-oklahoma-disaster-declaration/,Friday
BUDGET & SPENDING,"May 26, 2017",President Donald J. Trump’s Weekly Address,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-weekly-address-25/,Friday
FOREIGN POLICY,"May 26, 2017",Readout of President Donald J. Trump’s Meeting with Prime Minister Shinzo Abe of Japan,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-prime-minister-shinzo-abe-japan-3/,Friday
not found,"May 26, 2017",Remarks by the Vice President at the US Naval Academy Commencement Ceremony,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-us-naval-academy-commencement-ceremony/,Friday
not found,"May 26, 2017",Statement from President Donald J. Trump on Ramadan,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-ramadan/,Friday
NATIONAL SECURITY & DEFENSE,"May 26, 2017","Trump Administration Keeps its Promise: Begins Removing Violent Gang Members, Criminals, and Predators from American Communities",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/trump-administration-keeps-promise-begins-removing-violent-gang-members-criminals-predators-american-communities/,Friday
SOCIAL PROGRAMS,"May 25, 2017",First Lady Melania Trump and Queen Mathilde of Belgium Participate in Forum to Protect Children from Online Exploitation,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/first-lady-melania-trump-queen-mathilde-belgium-participate-forum-protect-children-online-exploitation/,Thursday
FOREIGN POLICY,"May 25, 2017",Gingrich: “The President Just Made A Titanic Foreign Policy Shift. The Media Missed It.”,NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/gingrich-president-just-made-titanic-foreign-policy-shift-media-missed/,Thursday
FOREIGN POLICY,"May 25, 2017",Readout of President Donald J. Trump’s May 25th Working Lunch with President Emmanuel Macron of France,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-may-25th-working-lunch-president-emmanuel-macron-france/,Thursday
FOREIGN POLICY,"May 25, 2017",Readout of President Donald J. Trump’s Meeting with European Council President Donald Tusk and European Commission President Jean-Claude Juncker,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-european-council-president-donald-tusk-european-commission-president-jean-claude-juncker/,Thursday
FOREIGN POLICY,"May 25, 2017",Readout of President Donald J. Trump’s Meetings with the King Philippe and Queen Mathilde of Belgium and Prime Minister Charles Michel of Belgium,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meetings-king-philippe-queen-mathilde-belgium-prime-minister-charles-michel-belgium/,Thursday
FOREIGN POLICY,"May 25, 2017","Remarks by President Trump at NATO Unveiling of the Article 5 and Berlin Wall Memorials – Brussels, Belgium",REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-nato-unveiling-article-5-berlin-wall-memorials-brussels-belgium/,Thursday
NATIONAL SECURITY & DEFENSE,"May 25, 2017",Statement from President Donald J. Trump,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-donald-j-trump-6/,Thursday
FOREIGN POLICY,"May 25, 2017",Statement from the Press Secretary on the United States’ Solidarity with the Philippines,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-united-states-solidarity-philippines/,Thursday
FOREIGN POLICY,"May 24, 2017",Readout of President Donald J. Trump’s Meetings with Italian President Sergio Mattarella and Prime Minister Paolo Gentiloni,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meetings-italian-president-sergio-mattarella-prime-minister-paolo-gentiloni/,Wednesday
FOREIGN POLICY,"May 24, 2017",Readout of President Donald J. Trump’s Meeting with His Holiness Pope Francis and Cardinal Secretary of State Pietro Parolin,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-holiness-pope-francis-cardinal-secretary-state-pietro-parolin/,Wednesday
not found,"May 24, 2017",President Donald J. Trump Announces Intent to Appoint the Following Individuals to the President’s Commission on White House Fellowships,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-announces-intent-appoint-following-individuals-presidents-commission-white-house-fellowships/,Wednesday
BUDGET & SPENDING,"May 24, 2017","Remarks by the Vice President at Cajun Industries, Baton Rouge, LA",REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-cajun-industries-baton-rouge-la/,Wednesday
not found,"May 24, 2017",Statement from First Lady Melania Trump on her Visit to Bambino Gesu Children’s Hospital,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-first-lady-melania-trump-visit-bambino-gesu-childrens-hospital/,Wednesday
FOREIGN POLICY,"May 23, 2017",Statement from the Press Secretary on the Visit of Prime Minister Nguyen Xuan Phuc of Vietnam,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-visit-prime-minister-nguyen-xuan-phuc-vietnam/,Tuesday
FOREIGN POLICY,"May 23, 2017",Statement of Extraordinary Summit of the Cooperation Council for the Arab States of the Gulf (GCC) and the United States of America,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-extraordinary-summit-cooperation-council-arab-states-gulf-gcc-united-states-america/,Tuesday
FOREIGN POLICY,"May 23, 2017",Remarks by President Trump at Yad Vashem,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-yad-vashem-2/,Tuesday
FOREIGN POLICY,"May 23, 2017",Remarks by President Trump at the Israel Museum,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-israel-museum/,Tuesday
FOREIGN POLICY,"May 23, 2017",Remarks by President Trump and President Abbas of the Palestinian Authority in Joint Statements,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-abbas-palestinian-authority-joint-statements-2/,Tuesday
FOREIGN POLICY,"May 23, 2017",Remarks by President Trump and President Abbas of the Palestinian Authority in Joint Statements,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-abbas-palestinian-authority-joint-statements/,Tuesday
FOREIGN POLICY,"May 23, 2017",Readout of President Donald J. Trump’s Phone Call with Prime Minister Theresa May of the United Kingdom,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-phone-call-prime-minister-theresa-may-united-kingdom-3/,Tuesday
FOREIGN POLICY,"May 23, 2017",Readout of Meeting Between President Donald J. Trump and President Mahmoud Abbas of the Palestinian Authority,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-meeting-president-donald-j-trump-president-mahmoud-abbas-palestinian-authority-2/,Tuesday
FOREIGN POLICY,"May 23, 2017",Readout of Meeting Between President Donald J. Trump and Israeli Prime Minister Benjamin Netanyahu,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-meeting-president-donald-j-trump-israeli-prime-minister-benjamin-netanyahu/,Tuesday
FOREIGN POLICY,"May 23, 2017",Readout of Meeting Between President Donald J. Trump and Israeli President Reuven Rivlin,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-meeting-president-donald-j-trump-israeli-president-reuven-rivlin/,Tuesday
FOREIGN POLICY,"May 23, 2017",Joint Statement Between the Kingdom of Saudi Arabia and the United States of America,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/joint-statement-kingdom-saudi-arabia-united-states-america/,Tuesday
HEALTHCARE,"May 23, 2017",President Trump’s First Budget Commits Significant Resources to Fight the Opioid Epidemic,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-trumps-first-budget-commits-significant-resources-fight-opioid-epidemic/,Tuesday
